gender,age,grade_aggregate,dream_job,fav_sub1,fav_sub2,fav_sub3,interest,learning_style,selected_program
Male ,18,6,Pediatrician,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Medicine
Female,26,10,Regulatory Affairs Specialist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Male ,26,24,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts Full-Fee Paying
Male ,14,18,Full-Stack Developer,ICT,Mathematics,ICT,Technology,Logical,BSc. Mathematical Sciences
Female,25,6,Nurse Midwife,Biology,Chemistry,English Language,Science,Social,BSc. Nursing
Female,23,6,Environmental Lawyer,English Language,Biology,Chemistry,Science,Naturalistic,Bachelor of Law
Male ,24,8,Mathematician,Mathematics,Physics,ICT,Science,Analytical,BSc. Mathematical Sciences
Male ,30,6,Product Development Scientist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Male ,18,23,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - City Campus
Male ,30,6,Immigration Lawyer,English Language,Social Studies,French,Languages,Intercultural,Bachelor of Law
Female,28,7,Data Security Analyst,Mathematics,ICT,Physics,Technology,Logical,BSc. Mathematical Sciences
Male ,15,23,Aquaculture Farmer,Agricultural Science,Biology,Chemistry,Environment,Verbal,BSc. Agricultural Engineering (Full-Feepaying)
Female,18,26,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - Distance Education
Male ,20,8,Dental Hygienist,Biology,Chemistry,English Language,Science,Tactile,Bachelor of Dental Surgery
Male ,31,9,Database Manager,ICT,Mathematics,ICT,Technology,Logical,BSc. Mathematical Sciences
Female,24,18,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts City Campus
Male ,15,18,Dancer,Creative Arts,Biology,Physics,Arts,Kinesthetic,Bachelor of Fine Arts
Male ,19,15,Food Process Engineer,Mathematics,Biology,Chemistry,Food Science,Logical,BSc. Food Process Engineering
Female,18,19,Nanotechnologist,Physics,Chemistry,Mathematics,Technology,Analytical,BSc. Physical Sciences
Male ,16,8,Data Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Mathematical Sciences
Female,14,8,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (General Arts Background)
Male ,14,6,Pharmacy Technician,Mathematics,Chemistry,Biology,Science,Logical,Doctor of Pharmacy
Female,25,7,Pharmacologist,Biology,Chemistry,Mathematics,Science,Logical,Doctor of Pharmacy
Male ,25,7,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts (General Arts Background)
Female,29,18,School Counselor,Psychology,Social Studies,English Language,Social,Social,BSc. Psychology
Female,24,6,Agricultural Business Manager,Mathematics,Economics,Business,Agriculture,Logical,BSc. Agricultural Engineering
Female,29,15,Consumer Psychologist,Business,Psychology,Mathematics,Business,Analytical,BSc. Psychology
Male ,20,19,Sports Journalist,English Language,Social Studies,Creative Arts,Sports,Verbal,BA. Sports and Physical Culture
Female,18,24,Foreign Language Teacher,French,Linguistics,Linguistics,Languages,Verbal,Bachelor of Arts City Campus
Female,21,22,Epidemiologist,Biology,Mathematics,Chemistry,Science,Analytical,BSc. Biological Sciences
Female,28,6,Research and Development Scientist,Biology,Chemistry,Mathematics,Science,Analytical,Doctor of Pharmacy
Male ,30,20,Clinical Psychologist,Biology,Chemistry,Mathematics,Science,Analytical,BSc. Psychology
Male ,25,6,Dental Surgeon,Biology,Chemistry,Physics,Science,Kinesthetic,Bachelor of Dental Surgery
Male ,23,16,Tax Manager,Mathematics,Business,Economics,Business,Logical,BSc. Administration - City Campus
Male ,19,9,Laboratory Animal Veterinarian,Biology,Chemistry,Physics,Science,Visual,Doctor of Veterinary Medicine
Male ,16,13,Radiologic technologist,Biology,Physics,Mathematics,Science,Visual,BSc. Biological Sciences
Male ,16,6,Compounding Pharmacist,Chemistry,Mathematics,Biology,Science,Logical,Doctor of Pharmacy
Female,27,16,Application Developer,ICT,Mathematics,ICT,Technology,Logical,BSc. Mathematical Sciences
Female,15,6,Hardware Design Engineer,General Knowledge in Art,Physics,Mathematics,Technology,Spatial,BSc. Mathematical Sciences
Male ,23,8,Data Analyst,Mathematics,Mathematics,Computer Science,Data Analysis,Logical,BSc. Administration - Legon Campus
Female,19,7,Geologist,Science,Mathematics,Physics,Science,Visual,BSc. Earth Sciences
Male ,15,6,Data Scientist,ICT,Mathematics,Physics,Science,Analytical,BSc. Information Technology
Male ,14,10,Irrigation Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Male ,25,19,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts City Campus
Male ,17,6,Legal Analyst,English Language,Mathematics,Economics,Business,Analytical,Bachelor of Law
Male ,19,14,Dancer,Creative Arts,Biology,Physics,Arts,Kinesthetic,Bachelor of Fine Arts
Male ,21,6,Orthopedic Surgeon,Biology,Chemistry,Physics,Science,Sequential,Bachelor of Surgery
Female,25,21,Genetic counselor,Biology,Psychology,Chemistry,Science,Verbal,BSc. Biological Sciences
Male ,25,19,Advertising Manager,English Language,Business,Business,Marketing,Verbal,BSc. Administration - City Campus
Male ,21,17,Special Education Teacher,English Language,Mathematics,Biology,Education,Naturalistic,BSc. Education
Female,21,11,Pediatric Physical Therapist,Biology,Social Studies,Chemistry,Science,Verbal,BSc. Physiotherapy
Female,21,7,Software Architect,Mathematics,ICT,Mathematics,Technology,Logical,BSc. Computer Engineering
Female,22,14,Writer,English Language,Creative Arts,History,Literature,Linguistic,Bachelor of Arts (General Arts Background)
Male ,17,13,Mobile Applications Developer,ICT,Mathematics,Creative Arts,Technology,Visual,BSc. Information Technology (Full-Feepaying)
Female,27,21,Physicist,Mathematics,Physics,Chemistry,Science,Logical,BSc. Physical Sciences
Male ,31,17,Financial Analyst,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - City Campus
Male ,19,7,Cloud Architect,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Female,28,9,Food Safety Inspector,Biology,Chemistry,Science,Science,Sequential,BSc. Nutrition & Dietetics
Female,25,8,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - Legon Campus
Male ,22,18,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts City Campus
Female,15,23,Agricultural and Food Scientist,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering (Full-Feepaying)
Female,30,14,IT Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Female,30,6,Molecular Biology Technologist,Biology,Chemistry,Science,Science,Analytical,BSc. Medical Laboratory Sciences
Male ,15,24,Historian,History,Social Studies,English Language,History,Verbal,Bachelor of Arts Full-Fee Paying
Female,27,19,Advertising Manager,English Language,Business,Business,Marketing,Verbal,BSc. Administration - City Campus
Female,27,24,Agricultural Economist,Mathematics,Economics,Business,Agriculture,Logical,BSc. Agricultural Engineering (Full-Feepaying)
Male ,27,7,Research Scientist,Physics,Chemistry,Mathematics,Science,Analytical,BSc. Materials Science & Engineering
Male ,29,18,Historian,History,Social Studies,English Language,History,Verbal,Bachelor of Arts Full-Fee Paying
Female,21,9,User Experience Designer,Creative Arts,ICT,English Language,Arts,Visual,BSc. Computer Engineering
Female,30,8,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,22,8,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - Legon Campus
Male ,30,16,Oceanographer,Biology,Chemistry,Physics,Science,Naturalistic,BSc. Earth Sciences
Female,24,9,Information Technology (IT) Manager,Computer Science,Mathematics,Physics,Technology,Logical,BSc. Administration - Legon Campus
Male ,18,10,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering (Full-Feepaying)
Female,31,8,School Counselor,Psychology,Social Studies,English Language,Social,Social,BSc. Psychology
Male ,18,6,Art Director,Creative Arts,General Knowledge in Art,General Knowledge in Art,Arts,Visual,Bachelor of Arts (General Arts Background)
Male ,18,7,Clinical Laboratory Scientist,Biology,Chemistry,Mathematics,Science,Analytical,BSc. Medical Laboratory Sciences
Male ,30,15,Statistician,Mathematics,Mathematics,ICT,Science,Analytical,BSc. Mathematical Sciences
Female,27,13,IT Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,14,9,Physical therapist,Biology,Physical Education,Biology,Fitness,Kinesthetic,BSc. Biological Sciences
Female,29,24,Cloud Architect,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology - Distance Education
Male ,25,9,Occupational Therapist,English Language,Biology,Chemistry,Arts,Verbal,BSc. Occupational Therapy
Female,25,26,Supply Chain Manager,Mathematics,Business,Economics,Business,Logical,BSc. Administration - Distance Education
Female,27,15,IT Project Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology - Distance Education
Male ,20,6,Oceanographer,Biology,Chemistry,Physics,Science,Analytical,BSc. Physical Sciences
Male ,29,13,School Counselor,English Language,Social Studies,Religious and Moral Education,Education,Social,BA. Education
Female,29,10,Forensic Science Technician,Biology,Chemistry,Physics,Science,Logical,BSc. Medical Laboratory Sciences
Male ,15,18,Nutritionist,Biology,Home Business Studies,Chemistry,Cooking,Analytical,BSc. Biological Sciences
Female,23,24,Agricultural Inspector,Agricultural Science,Biology,Chemistry,Environment,Logical,BSc. Agricultural Engineering (Full-Feepaying)
Female,16,17,Consumer Psychologist,Business,Psychology,Mathematics,Business,Analytical,BSc. Psychology
Female,19,6,Process Control Engineer,Mathematics,Physics,Chemistry,Food Science,Logical,BSc. Food Process Engineering
Male ,24,6,Data Scientist,ICT,Mathematics,Physics,Science,Analytical,BSc. Information Technology
Female,27,22,Veterinarian,Biology,Chemistry,Mathematics,Animals,Kinesthetic,BSc. Biological Sciences
Female,16,8,Agricultural Inspector,Agricultural Science,Biology,Chemistry,Environment,Logical,BSc. Agricultural Engineering
Female,25,10,IT Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology
Male ,18,22,Human Resources Manager,Psychology,Economics,Mathematics,Business,Social,BSc. Administration - City Campus
Female,19,8,Pharmacy Manager,Business,Mathematics,Chemistry,Business,Analytical,Doctor of Pharmacy
Male ,15,7,Trauma Surgeon,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Surgery
Male ,29,8,Database Manager,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Male ,25,6,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,23,9,Cytotechnologist,Biology,Chemistry,Science,Science,Visual,BSc. Medical Laboratory Sciences
Male ,24,17,Software Developer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology - Distance Education
Female,14,22,Musician,Theater Arts,Creative Arts,English Language,Music,Auditory,Bachelor of Arts Full-Fee Paying
Male ,16,6,Food Safety Specialist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,22,10,Environmental health and safety specialist,Chemistry,Biology,Physics,Science,Global,BSc. Biological Sciences
Female,14,18,Journalist,English Language,Creative Arts,Social Studies,Journalism,Verbal,Bachelor of Arts City Campus
Male ,23,9,Biomaterials Engineer,Physics,Chemistry,Biology,Science,Verbal,BSc. Materials Science & Engineering
Female,21,9,Application Developer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Male ,16,13,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Female,28,19,Food Technologist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering (Full-Feepaying)
Male ,23,7,Data Architect,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,15,7,Plastic Surgeon,Biology,Chemistry,Physics,Science,Spatial,Bachelor of Surgery
Female,18,7,Psychiatrist,Biology,Psychology,English Language,Arts,Solitary,Bachelor of Medicine
Female,29,21,Director,Creative Arts,English Language,History,Arts,Visual,Bachelor of Fine Arts
Female,18,16,Epidemiologist,Biology,Mathematics,Chemistry,Science,Analytical,BSc. Biological Sciences
Male ,26,16,Writer,Creative Arts,English Language,English Language,Literature,Verbal,Bachelor of Fine Arts
Female,29,16,Meteorologist,Mathematics,Physics,Geography,Science,Analytical,BSc. Physical Sciences
Female,31,9,Neuropsychologist,Biology,Chemistry,Physics,Science,Analytical,BSc. Psychology
Male ,21,18,Dancer,Creative Arts,Biology,Physics,Arts,Kinesthetic,Bachelor of Fine Arts
Female,29,22,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - City Campus
Female,29,12,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (General Arts Background)
Male ,15,15,Data Scientist,Mathematics,Mathematics,Computer Science,Technology,Logical,BSc. Physical Sciences
Female,25,17,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts Full-Fee Paying
Female,20,7,DevOps Engineer,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Female,29,13,Writer,English Language,Creative Arts,History,Literature,Linguistic,Bachelor of Arts (General Arts Background)
Male ,24,19,Financial Analyst,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - City Campus
Female,16,16,Research Psychologist,Mathematics,Mathematics,Biology,Science,Analytical,BSc. Psychology
Male ,25,22,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology - Distance Education
Male ,25,11,Research scientist,Biology,Chemistry,Physics,Science,Logical,BSc. Biological Sciences
Female,14,7,Research and Development Scientist,Biology,Chemistry,Mathematics,Science,Analytical,Doctor of Pharmacy
Female,22,9,Data Analyst,Mathematics,Mathematics,ICT,Science,Analytical,BSc. Mathematical Sciences
Female,29,6,Computer Systems Analyst,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Female,30,6,Science Policy Analyst,Social Studies,Science,History,Politics,Analytical,BSc. Physical Sciences
Male ,22,14,Art Teacher,Creative Arts,General Knowledge in Art,Education,Education,Visual,Bachelor of Arts (General Arts Background)
Female,31,8,Bioprocessing Engineer,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Male ,31,9,Information Systems Security Manager,ICT,Mathematics,Mathematics,Technology,Analytical,BSc. Computer Engineering
Female,14,12,Research Psychologist,Mathematics,Mathematics,Biology,Science,Analytical,BSc. Psychology
Male ,29,6,Data Scientist,Science,Mathematics,Mathematics,,Logical,BSc. Mathematical Sciences
Female,31,16,Research scientist,Biology,Chemistry,Physics,Science,Logical,BSc. Biological Sciences
Male ,29,19,Bioprocessing Engineer,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Female,16,7,Critical Care Nurse,Biology,Chemistry,Mathematics,Science,Reflective,BSc. Nursing
Male ,25,15,Science Educator,Education,Science,Mathematics,Education,Social,BSc. Physical Sciences
Male ,30,7,Information Technology Manager,ICT,Mathematics,Business,Technology,Analytical,BSc. Computer Engineering
Male ,20,18,Data Analyst,Mathematics,Mathematics,Computer Science,Data Analysis,Logical,BSc. Administration - City Campus
Male ,19,7,Nutritionist,Biology,Home Business Studies,Chemistry,Cooking,Analytical,BSc. Biological Sciences
Male ,22,6,Project Manager,Business,Mathematics,Physics,Business,Logical,BSc. Administration - Legon Campus
Female,27,19,DevOps Engineer,Mathematics,ICT,ICT,Technology,Analytical,BSc. Mathematical Sciences
Male ,16,14,Software Developer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Female,26,20,Chief Financial Officer (CFO),Business,Economics,Business,Business,Logical,BSc. Administration - City Campus
Male ,26,14,Orthopedic Physical Therapist,Biology,Chemistry,Mathematics,Engineering,Visual,BSc. Physiotherapy
Female,31,8,Pharmacy Technician,Mathematics,Chemistry,Biology,Science,Logical,Doctor of Pharmacy
Female,20,8,Home Health Nurse,Biology,Chemistry,Mathematics,Science,Naturalistic,BSc. Nursing
Male ,21,8,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts (Business/Science/ Vocational Background)
Male ,30,11,School Counselor,English Language,Psychology,Education,Psychology,Social,BSc. Family & Child Studies
Female,25,7,IT Project Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Male ,31,10,User Experience Designer,Creative Arts,ICT,English Language,Arts,Visual,BSc. Computer Engineering (Full-Feepaying)
Male ,28,7,Pediatric Dentist,Biology,Chemistry,English Language,Science,Naturalistic,Bachelor of Dental Surgery
Male ,31,9,Research Scientist,Physics,Chemistry,Mathematics,Science,Analytical,BSc. Materials Science & Engineering
Male ,27,7,Immigration Lawyer,English Language,Social Studies,French,Languages,Intercultural,Bachelor of Law
Male ,15,10,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Female,16,7,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts (General Arts Background)
Female,31,9,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (Business/Science/ Vocational Background)
Male ,27,14,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts (General Arts Background)
Female,24,14,Occupational Therapist,Biology,Chemistry,Physics,Science,Logical,BSc. Occupational Therapy
Male ,26,12,PACS Administrator,Biology,Physics,Chemistry,Science,Solitary,BSc. Diagnostic Radiography
Male ,26,14,Data Scientist,ICT,Mathematics,Physics,Science,Analytical,BSc. Information Technology (Full-Feepaying)
Female,19,23,Agricultural Business Manager,Mathematics,Economics,Business,Agriculture,Logical,BSc. Agricultural Engineering (Full-Feepaying)
Male ,24,8,Computer Programmer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Male ,28,17,Social Psychologist,Psychology,Social Studies,English Language,Social,Verbal,BSc. Psychology
Female,27,6,DevOps Engineer,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Female,19,8,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - Legon Campus
Male ,27,6,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts (General Arts Background)
Female,31,13,Research Psychologist,Mathematics,Mathematics,Biology,Science,Analytical,BSc. Psychology
Female,24,18,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts Full-Fee Paying
Female,22,14,Cloud Architect,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,30,24,Data Scientist,ICT,Mathematics,Physics,Science,Analytical,BSc. Information Technology - Distance Education
Male ,27,6,Trauma Surgeon,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Surgery
Male ,15,8,Textile Designer,Creative Arts,General Knowledge in Art,English Language,Fashion,Visual,BSc. Food & Clothing
Female,24,13,Agricultural Inspector,Agricultural Science,Biology,Chemistry,Environment,Logical,BSc. Agricultural Engineering
Male ,27,10,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Female,15,9,Sports Coach,Physical Education,Mathematics,Physical Education,Sports,Visual,BA. Sports and Physical Culture
Male ,14,7,Product Manager,ICT,Business,Mathematics,Business,Analytical,BSc. Computer Engineering
Male ,19,13,Geologist,Science,Physics,Mathematics,Science,Naturalistic,BSc. Physical Sciences
Female,26,22,Public Relations Manager,English Language,Business,Social Studies,Communications,Verbal,BSc. Administration - City Campus
Male ,23,29,Sales Manager,Mathematics,Business,English Language,Business,Logical,BSc. Administration - Distance Education
Male ,30,7,Histotechnologist,Biology,Chemistry,Science,Science,Sequential,BSc. Medical Laboratory Sciences
Male ,23,11,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts (General Arts Background)
Male ,24,6,Pediatric Surgeon,Biology,Chemistry,Physics,Science,Naturalistic,Bachelor of Surgery
Female,31,21,Journalist,English Language,Creative Arts,Social Studies,Journalism,Verbal,Bachelor of Arts City Campus
Female,30,11,Quality Control Analyst,Biology,Chemistry,Physics,Food Science,Analytical,BSc. Food Process Engineering
Male ,15,9,Financial Analyst,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus
Female,26,15,Artificial Intelligence Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology - Distance Education
Male ,27,9,Financial Analyst,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus
Female,28,23,Small Business Owner,Business,Business,Economics,Business,Global,BSc. Administration - City Campus
Female,30,6,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - Legon Campus
Female,25,14,Actuary,Mathematics,Science,Business,Science,Analytical,BSc. Mathematical Sciences
Female,28,14,IT Project Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,19,9,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts (General Arts Background)
Male ,26,11,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts (General Arts Background)
Male ,28,12,Orthopedic Physical Therapist,Biology,Chemistry,Mathematics,Engineering,Visual,BSc. Physiotherapy
Male ,29,7,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts (General Arts Background)
Male ,18,20,Writer,Creative Arts,English Language,English Language,Literature,Verbal,Bachelor of Fine Arts
Female,18,14,Food Technologist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Male ,30,6,Pediatric Surgeon,Biology,Chemistry,Physics,Science,Naturalistic,Bachelor of Surgery
Male ,29,8,Sports Psychologist,Psychology,Biology,English Language,Sports,Reflective,BA. Sports and Physical Culture
Male ,24,23,Science Educator,Education,Science,Mathematics,Education,Social,BSc. Physical Sciences
Female,25,7,Criminal Lawyer,English Language,Social Studies,French,Psychology,Logical,Bachelor of Law
Male ,31,10,Business Intelligence Developer,Business,ICT,Mathematics,Business,Analytical,BSc. Mathematical Sciences
Male ,31,24,Meteorologist,Physics,Mathematics,Geography,Science,Logical,BSc. Earth Sciences
Female,17,8,Athletic Director,Physical Education,Business,Social Studies,Sports,Social,BA. Sports and Physical Culture
Female,19,17,Actuary,Mathematics,Science,Business,Science,Analytical,BSc. Mathematical Sciences
Female,15,9,Respiratory Therapist,Biology,Chemistry,Physics,Health,Verbal,BSc. Respiratory Therapy
Male ,31,7,Intellectual Property Lawyer,English Language,Mathematics,Physics,Technology,Analytical,Bachelor of Law
Female,24,10,Mobile Applications Developer,ICT,Mathematics,English Language,Technology,Visual,BSc. Computer Engineering (Full-Feepaying)
Female,24,7,Pediatrician,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Medicine
Female,17,8,Painter,Creative Arts,English Language,General Knowledge in Art,Arts,Visual,Bachelor of Fine Arts
Male ,14,10,Histotechnologist,Biology,Chemistry,Science,Science,Sequential,BSc. Medical Laboratory Sciences
Female,26,22,Agricultural Systems Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Female,27,13,Cyber Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,19,7,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Male ,29,8,Research and Development Scientist,Biology,Chemistry,Mathematics,Science,Analytical,Doctor of Pharmacy
Female,19,24,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts Full-Fee Paying
Male ,26,7,Data Scientist,ICT,Mathematics,Physics,Science,Analytical,BSc. Information Technology
Male ,16,20,Sports Psychologist,Psychology,Biology,English Language,Sports,Reflective,BA. Sports and Physical Culture
Male ,28,7,Intellectual Property Lawyer,English Language,Mathematics,Physics,Technology,Analytical,Bachelor of Law
Female,15,15,Agricultural Systems Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Female,29,17,Nanotechnologist,Physics,Chemistry,Mathematics,Technology,Analytical,BSc. Physical Sciences
Female,24,9,Process Control Engineer,Mathematics,Physics,Chemistry,Food Science,Logical,BSc. Food Process Engineering
Female,29,7,Family Medicine Physician,Biology,Chemistry,Physics,Science,Social,Bachelor of Medicine
Female,18,7,Dental Equipment Salesperson,General Knowledge in Art,Physics,Mathematics,Technology,Visual,Bachelor of Dental Surgery
Male ,18,13,User Experience Designer,ICT,Creative Arts,Psychology,Technology,Visual,BSc. Information Technology (Full-Feepaying)
Male ,25,7,Physician,Biology,Chemistry,Physics,Science,Auditory,Bachelor of Medicine
Female,27,13,Database Administrator,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Female,22,9,Development Operations Manager,Mathematics,ICT,Mathematics,Technology,Analytical,BSc. Computer Engineering
Female,18,10,Materials Scientist,Chemistry,Physics,Mathematics,Science,Logical,BSc. Physical Sciences
Male ,22,8,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts (Business/Science/ Vocational Background)
Female,15,8,Dental Equipment Salesperson,General Knowledge in Art,Physics,Mathematics,Technology,Visual,Bachelor of Dental Surgery
Female,14,12,Advertising Copywriter,English Language,Creative Arts,Business,Advertising,Verbal,Bachelor of Arts (General Arts Background)
Male ,24,14,Product Development Scientist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,17,6,Criminal Lawyer,English Language,Social Studies,French,Psychology,Logical,Bachelor of Law
Female,24,10,School Counselor,Psychology,Social Studies,English Language,Social,Social,BSc. Psychology
Female,28,9,Teacher,English Language,Mathematics,Social Studies,Education,Verbal,BA. Education
Female,28,19,Environmental Scientist,Biology,Chemistry,Science,Science,Naturalistic,BSc. Physical Sciences
Male ,17,24,Sales Manager,Mathematics,Business,English Language,Business,Logical,BSc. Administration - City Campus
Female,30,8,Clinical Pharmacist,Biology,Chemistry,Mathematics,Science,Logical,Doctor of Pharmacy
Male ,27,24,Art Director,Creative Arts,General Knowledge in Art,General Knowledge in Art,Arts,Visual,Bachelor of Arts Full-Fee Paying
Male ,19,6,Research and Development Scientist,Biology,Chemistry,Mathematics,Science,Analytical,Doctor of Pharmacy
Male ,31,9,Software Test Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Computer Engineering
Male ,16,15,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology - Distance Education
Male ,26,10,Information Systems Security Manager,ICT,Mathematics,Mathematics,Technology,Analytical,BSc. Computer Engineering (Full-Feepaying)
Male ,30,15,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts (General Arts Background)
Female,27,10,Investment Banker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,22,7,Medical Writer,English Language,Biology,Chemistry,Literature,Verbal,BSc. Biomedical Engineering
Female,20,6,Neurosurgeon,Biology,Chemistry,Physics,Science,Reflective,Bachelor of Surgery
Male ,21,10,Cloud Architect,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering (Full-Feepaying)
Female,30,7,Neurosurgeon,Biology,Chemistry,Physics,Science,Reflective,Bachelor of Surgery
Female,23,6,Real Estate Lawyer,English Language,Mathematics,Economics,Business,Sequential,Bachelor of Law
Female,23,10,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,15,12,Software Developer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Male ,17,11,Robotics Engineer,Mathematics,Physics,ICT,Engineering,Spatial,BSc. Mathematical Sciences
